org_name,repo_name,repo_url,description,language,star,forks,daily_star,date,trending_category
terrastruct,d2,https://github.com/terrastruct/d2,D2 is a modern diagram scripting language that turns text to diagrams.,Go,17896.0,439.0,418,2024-11-17,go
tinygo-org,tinygo,https://github.com/tinygo-org/tinygo,"Go compiler for small places. Microcontrollers, WebAssembly (WASM/WASI), and command-line tools. Based on LLVM.",Go,15463.0,912.0,6,2024-11-17,go
Melkeydev,go-blueprint,https://github.com/Melkeydev/go-blueprint,Go-blueprint allows users to spin up a quick Go project using a popular framework,Go,4608.0,276.0,9,2024-11-17,go
jeessy2,ddns-go,https://github.com/jeessy2/ddns-go,"Simple and easy to use DDNS. Support Aliyun, Tencent Cloud, Dnspod, Cloudflare, Callback, Huawei Cloud, Baidu Cloud, Porkbun, GoDaddy, Namecheap, NameSilo...",Go,12117.0,1398.0,25,2024-11-17,go
JanDeDobbeleer,oh-my-posh,https://github.com/JanDeDobbeleer/oh-my-posh,The most customisable and low-latency cross platform/shell prompt renderer,Go,17450.0,2390.0,16,2024-11-17,go
v2fly,v2ray-core,https://github.com/v2fly/v2ray-core,A platform for building proxies to bypass network restrictions.,Go,29573.0,4663.0,12,2024-11-17,go
daytonaio,daytona,https://github.com/daytonaio/daytona,The Open Source Dev Environment Manager.,Go,10583.0,839.0,155,2024-11-17,go
XIU2,CloudflareSpeedTest,https://github.com/XIU2/CloudflareSpeedTest,🌩「自选优选 IP」测试 Cloudflare CDN 延迟和速度，获取最快 IP ！当然也支持其他 CDN / 网站 IP ~,Go,19816.0,3909.0,16,2024-11-17,go
milvus-io,milvus,https://github.com/milvus-io/milvus,"A cloud-native vector database, storage for next generation AI applications",Go,30702.0,2927.0,23,2024-11-17,go
SagerNet,sing-box,https://github.com/SagerNet/sing-box,The universal proxy platform,Go,20039.0,2382.0,18,2024-11-17,go
evcc-io,evcc,https://github.com/evcc-io/evcc,Sonne tanken ☀️🚘,Go,3607.0,669.0,4,2024-11-17,go
adonovan,gopl.io,https://github.com/adonovan/gopl.io,"Example programs from ""The Go Programming Language""",Go,7639.0,2737.0,2,2024-11-17,go
Calcium-Ion,new-api,https://github.com/Calcium-Ion/new-api,AI模型接口管理与分发系统，支持将多种大模型转为OpenAI格式调用、支持Midjourney Proxy、Suno、Rerank，兼容易支付协议，可供个人或者企业内部管理与分发渠道使用，本项目基于One API二次开发。,Go,3557.0,824.0,12,2024-11-17,go
FiloSottile,mkcert,https://github.com/FiloSottile/mkcert,A simple zero-config tool to make locally trusted development certificates with any names you'd like.,Go,50227.0,2626.0,94,2024-11-17,go
m1k1o,neko,https://github.com/m1k1o/neko,A self hosted virtual browser that runs in docker and uses WebRTC.,Go,7546.0,555.0,26,2024-11-17,go
jesusprubio,up,https://github.com/jesusprubio/up,📶 Troubleshoot problems with your Internet connection,Go,379.0,16.0,42,2024-11-17,go
FiloSottile,age,https://github.com/FiloSottile/age,"A simple, modern and secure encryption tool (and Go library) with small explicit keys, no config options, and UNIX-style composability.",Go,17405.0,511.0,26,2024-11-17,go
XTLS,Xray-core,https://github.com/XTLS/Xray-core,"Xray, Penetrates Everything. Also the best v2ray-core, with XTLS support. Fully compatible configuration.",Go,25613.0,3956.0,21,2024-11-17,go
v2rayA,v2rayA,https://github.com/v2rayA/v2rayA,"A web GUI client of Project V which supports VMess, VLESS, SS, SSR, Trojan, Tuic and Juicity protocols. 🚀",Go,11515.0,1223.0,11,2024-11-17,go
